產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-109年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-108年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-109年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-108年,非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明
其他,9902,台火,4041,7,577,648,618,645,0.33,855,3.23,,,V,本公司非擔任主管職務之全時員工人數108年度為9人，109年度為7人，因109年度資深員工2人離職，109年度非擔任主管職務之全時員工薪資平均數雖較前一年度減少，但個人的年度總薪資皆較108年度無減少。
運動休閒,9904,寶成,2449418,3224,760,884,549,621,1.64,809,4.45,,,,
其他,9905,大華,186704,318,587,553,548,519,1.83,855,3.23,,,,
建材營造,9906,欣巴巴,30217,44,687,582,601,529,-1.07,842,1.82,,,,
其他,9907,統一實,819740,1148,714,676,710,675,0.58,855,3.23,,,,
油電燃氣業,9908,大台北,249805,247,"1,011",989,979,955,1.64,1117,0.99,,V,,109年同業平均EPS大幅減少，非經理人之全時員工薪資平均數亦減少，惟本公司EPS雖減少，但薪資平均數卻逆勢增加。故本公司員工薪酬應屬合理。
運動休閒,9910,豐泰,2964879,2595,"1,143","1,223",843,936,5.53,809,4.45,,,,
居家生活,9911,櫻花,635165,889,714,689,615,589,4.08,664,5.27,,V,,我司為勞力密集之傳統產業，在合於法規下增加現場作業員，上述員工拉低薪資水平；且在經營規模、獲利能力及獎勵政策與同樣歸屬於「其他」產業別之企業亦有差異，即因如此，相較去年，本公司平均薪資已成長3.6%。
電腦及週邊設備業,9912,偉聯,25463,31,821,797,793,749,-0.77,1205,4.57,,,,
運動休閒,9914,美利達,924624,1064,869,810,718,721,13.36,809,4.45,,,,
其他,9917,中保科,1684200,2361,713,708,674,662,5.42,855,3.23,,V,,本公司所經營業務多元化，非單一營運市場，人力類別及薪資結構複雜，與所謂「同業」事業屬性多不相同。若員工月底到/離職，計算半月薪資也算成1人。109年度因應業務發展調整人員。以上各因素均影響薪資平均數。
油電燃氣業,9918,欣天然,173086,176,983,939,890,834,1.84,1117,0.99,,V,,本公司員工薪酬，依據公司章程、工作規則及董事會通過提撥標準，有關薪資及獎金給付，視公司獲利與經營績效並參考同業水準支付。員工除基本薪資及年終獎金外，另依據考績適時激勵士氣並留用優秀員工。
